ticker,name
005930,삼성전자
373220,LG에너지솔루션
000660,SK하이닉스
207940,삼성바이오로직스
051910,LG화학
006400,삼성SDI
005380,현대차
035420,NAVER
035720,카카오
000270,기아
005490,POSCO홀딩스
105560,KB금융
068270,셀트리온
028260,삼성물산
055550,신한지주
012330,현대모비스
003670,포스코케미칼
066570,LG전자
096770,SK이노베이션
086790,하나금융지주
034730,SK
032830,삼성생명
323410,카카오뱅크
015760,한국전력
003550,LG
033780,KT&G
051900,LG생활건강
010130,고려아연
011200,HMM
009150,삼성전기
034020,두산에너빌리티
017670,SK텔레콤
036570,엔씨소프트
010950,S-Oil
018260,삼성에스디에스
329180,현대중공업
000810,삼성화재
316140,우리금융지주
030200,KT
259960,크래프톤
003490,대한항공
009830,한화솔루션
377300,카카오페이
090430,아모레퍼시픽
024110,기업은행
352820,하이브
086280,현대글로비스
011070,LG이노텍
011170,롯데케미칼
302440,SK바이오사이언스
326030,SK바이오팜
000060,메리츠화재
383220,F&F
138040,메리츠금융지주
009540,한국조선해양
402340,SK스퀘어
097950,CJ제일제당
251270,넷마블
035250,강원랜드
018880,한온시스템
032640,LG유플러스
361610,SK아이이테크놀로지
267250,HD현대
271560,오리온
034220,LG디스플레이
004020,현대제철
028050,삼성엔지니어링
005830,DB손해보험
047810,한국항공우주
010140,삼성중공업
000720,현대건설
078930,GS
011780,금호석유
006800,미래에셋증권
000100,유한양행
008560,메리츠증권
161390,한국타이어앤테크놀로지
047050,포스코인터내셔널
021240,코웨이
012450,한화에어로스페이스
011790,SKC
241560,두산밥캣
029780,삼성카드
071050,한국금융지주
004990,롯데지주
002790,아모레G
128940,한미약품
028670,팬오션
008770,호텔신라
005940,NH투자증권
010620,현대미포조선
016360,삼성증권
282330,BGF리테일
064350,현대로템
137310,에스디바이오센서
139480,이마트
036460,한국가스공사
001450,현대해상
003410,쌍용C&E
112610,씨에스윈드
020150,일진머티리얼즈
007070,GS리테일
180640,한진칼
023530,롯데쇼핑
030000,제일기획
088350,한화생명
039490,키움증권
001040,CJ
014680,한솔케미칼
272210,한화시스템
138930,BNK금융지주
052690,한전기술
004170,신세계
006040,동원산업
006260,LS
336260,두산퓨얼셀
012750,에스원
042660,대우조선해양
081660,휠라홀딩스
010060,OCI
000120,CJ대한통운
000880,한화
000990,DB하이텍
001440,대한전선
204320,HL만도
004370,농심
006360,GS건설
008930,한미사이언스
026960,동서
002380,KCC
000080,하이트진로
111770,영원무역
047040,대우건설
007310,오뚜기
069620,대웅제약
298050,효성첨단소재
298020,효성티앤씨
079550,LIG넥스원
000150,두산
004000,롯데정밀화학
004800,효성
005300,롯데칠성
006280,녹십자
375500,DL이앤씨
011210,현대위아
042670,현대두산인프라코어
051600,한전KPS
069960,현대백화점
285130,SK케미칼
010120,LS ELECTRIC
000210,DL
001230,동국제강
001120,LX인터내셔널
000240,한국앤컴퍼니
000670,영풍
003090,대웅
005850,에스엘
009240,한샘
014820,동원시스템즈
271940,일진하이솔루스
019170,신풍제약
020560,아시아나항공
093370,후성
114090,GKL
120110,코오롱인더
017800,현대엘리베이
001740,SK네트웍스
001800,오리온홀딩스
006650,대한유화
010780,아이에스동서
032350,롯데관광개발
280360,롯데제과
103140,풍산
161890,한국콜마
178920,PI첨단소재
185750,종근당
039130,하나투어
003240,태광산업
005250,녹십자홀딩스
009420,한올바이오파마
009900,명신산업
016380,KG스틸
300720,한일시멘트
069260,TKG휴켐스
073240,금호타이어
192080,더블유게임즈
192820,코스맥스
031430,신세계인터내셔날
001680,대상
003850,보령
004490,세방전지
005440,현대그린푸드
013890,지누스
381970,케이카
057050,현대홈쇼핑
105630,한세실업
241590,화승엔터프라이즈
284740,쿠쿠홈시스
294870,HDC현대산업개발
020000,한섬
